,name,description,activity,status,tag
13,MAGIC RUST,"Последний вайп на Friday: 17.11.2023 в 14:00 с чертежами
Следующий вайп на Friday: 24.11.2023 в 14:00 без чертежей

Последний вайп на Monday: 13.10.2023 в 14:00 без чертежей
Следующий вайп на Monday: 20.11.2023 в 14:00 с чертежами

Вайп по пятницам:
MR 1 | Solo | - connect 185.207.214.25:10000
MR 3 | Max 3 | - connect 185.207.214.26:20000
MR 4 | Max 3, Barren | - connect 185.207.214.24:10000
MR 5 | Max 2 | - connect 185.207.214.24:20000
MR 7 | Max 3 | - connect 185.207.214.22:10000
MR 8 | Max 2 | - connect 185.207.214.22:20000
MR 12 | Max 2 | - connect 185.207.214.21:10000
MR 13 | Vanilla X2 | - connect 185.207.214.21:20000
MR 14 | No limit | - connect 185.207.214.27:10000
MR 19 | Vanilla X2 | - connect 185.207.214.18:10000

Вайп по понедельникам:
MR 2 | Max 2 | - connect 185.207.214.26:10000
MR 6 | Max 3, Barren | - connect 185.207.214.25:20000
MR 9 | Vanilla X2 | - connect 185.207.214.23:10000
MR 10 | Max 3 | - connect 185.207.214.23:20000
MR 11 | Max 3 | - connect 185.207.214.20:10000
MR 15 | No limit | - connect 185.207.214.27:20000
MR 16 | Solo | - connect 185.207.214.28:10000
MR 17 | Max 2 | - connect 185.207.214.28:20000
MR 18 | Max 2 | - connect 185.207.214.20:20000
MR 20 | Vanilla X2 | - connect 185.207.214.18:20000",Video games,Твой выбор,games
14,МерчСан♡ Делаем мерч по вашим артам!,"[https://vk.com/market-205077647|Делаем брелоки, значки, стенды, серьги, стикеры, открытки и плакаты, футболки, сумки с вашими артами]

> Первые в РФ акриловые брелки ""как в Китае"".
---> [https://vk.com/market-205077647?section=album_1|Брелки и значки, серьги из акрила, прозрачного и цветного. С двухсторонней уф-печатью.  ДВУХСЛОЙНЫЕ И ОДНОСЛОЙНЫЕ. Любые формы и размеры. Разная фурнитура на выбор.]

> [https://vk.com/market-205077647?section=album_6|Закатные металлические значки - ПЕЧАТАЕМ СБОРНЫЕ ТИРАЖИ!]

> [https://vk.com/market-205077647?section=album_9|Наклейки и стикеры. Печать, резка, ламинация. Голографическая, глиттер, светящаяся, отражающая, прозрачная пленка.]

> [https://vk.com/market-205077647?section=album_12|Стенды (стеллы) из акрила и фанеры. Печать на основании фигурки. Составные элементы, подвески, сложные конструкции.]

> [https://vk.com/market-205077647?section=album_5|Открытки, закладки, плакаты, блокноты и календари - печатаем все!]

> [https://vk.com/market-205077647?section=album_14|Пины с заливной смолой!]

> [https://vk.com/market-205077647?section=album_13|Текстильный мерч - шопперы, толстовки, футболки]

> [https://vk.com/@merchsan-dostavka|Доставка по всему миру! БЕСПЛАТНО ПО РОССИИ*]

Мы не продаем готовых изделий с чужими макетами. Но мы можем дать ссылку вам на авторов мерча, который печатаем =)","Printing, Graphic Arts","Мерч для художников, авторов, брендов - это к нам! Брелки из акрила с двухсторонней печатью. Большой выбор фурнитуры!",merch
15,ФАУНА,"СМИ о твоих любимых блоггерах и селебрити. Место, где освещаются и обсуждаются события и фейлы, происходящие в блогосфере, мире моды, тикток тусовках, шоу-бизнесе, а также самые громкие новости со всего света.

Предложи актуальную новость ;)",Internet media,Шоу,trash
16,Рецепты | Еда,Кухня всего Мира!,"Food, recipes",🧀🍕🌭🌮🌯🥙🥗🍤🥟 Добро пожаловать!,food
17,"ART-VISAGE | Мир, где рождается косметика","ART-VISAGE - российский бренд декоративной косметики с 24 летней историей. В ассортименте бренда присутствует все для создания макияжа, в том числе продуты-хиты, которые присутствуют в косметичках тысяч женщин и в кейсах профессиональных визажистов.

Косметика ART-VISAGE сочетает в себе современную классику, инновации и уход. Она идеально подходит для динамичной, стильной и деловой женщины мегаполиса. Ведь ее макияж должен подчеркивать красоту, быть всегда совершенным, а его нанесение занимать минимум времени и приносить удовольствие! 

Собственная студия-лаборатория изучает сырье, современные технологии и цветовые тренды, что обеспечивает безопасность, уникальность и востребованность рецептур и оттенков косметики ART-VISAGE.","Perfume, Cosmetics",www.art-visage.ru,cosmetics
18,"Я-ИЩУ | Выкуп с POIZON, Farfetch и др.","Я-ИЩУ - Это паблик, который объединяет всех любителей моды, уличной моды и sneakers культуры.

Часто бывает,что мы ищем продавца в разных пабликах,а как насчёт того,чтобы они искали нас?

Суть паблика - иметь площадку, объединяющую реальных покупателей, которые ищут самый лимитированный и культовый товар https://vk.com/grailsearch

Дорогие друзья!
Время не стоит на месте и теперь помимо ваших поисков мы будем выкладывать актуальные новинки, акции и просто интересные товары с зарубежных сайтов, которые вы можете заказать через нашего Директора.

Дополнительно мы запустили формат реализации ваших вещей, подробнее в закрепленном посте.

Правила публикации постов!
Посты не соответствующие правилам, будут удаляться!

1. Пост должен начинаться со слов «Я-Ищу» / «Ищу» или «Куплю»

2. Должен быть оформлен по шаблону (см. - https://vk.com/topic-166192083_39400297)

3. Запрещены продажи.

4. Обязательно прикрепить фото.

5. Запрещается: Реклама/спам/продажи , а так же любой негатив в комментариях будет наказываться баном.

Extra-место. Всех людей предлагающие свои услуги по выкупу в комментариях и в лс людям которые пытаются найти вещь мы будем отправлять в бан, так как мы не можем быть уверены в вашей добросовестности и сейчас очень много скама.","Fashion, clothing, shoes",,clothes
19,Мягкие кинотеатры в Самаре,"Добро пожаловать в сообщество Мягких кинотеатров в Самаре! Здесь мы рассказываем о новинках проката, обсуждаем новости кино и разыгрываем билеты на спецпоказы. 

Играй в кино: vk.cc/c012HW
Скачать мобильное приложение: vk.cc/a0SvnK
Что такое ScreenX: vk.cc/amfo5P
Карта лояльности: vk.cc/8hSQW1

Гудок:
ПН-ПТ - 11:00 - 00:00
СБ-ВС - 10:00 - 00:00

Космопорт:
ПН-ПТ - 11:00 - 00:00
СБ-ВС - 10:00 - 00:00",Movie theater,Мы открыты🎬,events
20,stupidmadworld,"Визуально и наглядно о технологиях, инновациях, играх и развлечениях","Technology, electronics","Привет, интернет!",tech
21,ULTIMATE RUST,"Наши сервера:
✅PARADISE — connect paradise.ultimaterust.com:40000
Карта: Custom | Ограничение: Duo

✅PIRATE BAY — connect pirate.ultimaterust.com:10000
Карта: Custom Barren | Ограничение: Trio

✅SUNRISE — connect sunrise.ultimaterust.com:30000
Карта: Procedural | Ограничение: Duo

✅ONE GRID SMALL DUO — connect onegrid.ultimaterust.com:10000
Карта: One Grid Custom | Ограничение: Duo

✅ONE GRID SMALL TRIO — connect onegrid.ultimaterust.com:20000
Карта: One Grid Custom | Ограничение: Trio

Вайпы на серверах:
💢PARADISE:
Каждую субботу - 12:00 мск
💢PIRATE BAY:
Каждую среду - 14:00 мск
💢SUNRISE:
Каждый четверг - 14:00 мск
💢ONE GRID:
Каждый вторник - 14:00 мск
Каждую пятницу - 14:00 мск

Наш сайт/магазин: ultimaterust.com",Video games,Играй на наших серверах! 😇,games
22,HUMANFACTOR SHOP ( мерч и атрибутика ),"Фирменный и лицензионный мерч от групп всех тяжёлых направлений - от  Hard rock до Grindcore🎸

По всем вопросам:
[id16615671|Станислав]
[id242740360|Сергей]

What`s Up - +79156991097
Почта - lojkamusic@gmail.com
Телефон - 89156991097","Clothing, shoes",Моднейший мерч твоих любимых групп 🤘🏻,merch
23,Эстетика,"Слово эстетика сугубо индивидуально для каждого человека, и порой этим словом описывают вообще всё что угодно. Мы же склоняемся к более профессиональной точке зрения, и рассказываем о работах великих художников и других признанных гениев. Чаще всего эстетика живёт в довольно незаметных деталях, в которые мы и посвящаем наших дорогих подписчиков.

Мы объединяем людей, которым также как и нам нравится видеть красивое в очень тонких, и порой не самых очевидных вещах.",Photography,"Учимся понимать искусство и красоту, на примерах профессионального творчества",trash
24,Вкусные рецепты! Кулинария! еДА тв.,"Вкусные Рецепты, Домашняя кулинария!","Food, recipes",Огромная коллекция рецептов самых разнообразных блюд! Практически со всего света!,food
25,Helan | Органическая косметика для мам и малышей,"Helan – это итальянский бренд органической косметики для мам и малышей. 

Косметика Helan зародилась и производится на семейной фабрике в Италии с 1976 года. 

В основе философии бренда сделан упор на экологичность и натуральность компонентов. Приоритетом является естественное сохранение всех полезных свойств растений без применения искусственных консервантов и отдушек.

Косметика Helan представлена сериями:

🌱 Linea Bimbi - био-косметика для детей с первых дней жизни.

🌱 Linea Mamma - безопасная косметика для беременных и кормящих женщин.

🌱 Sole Bibmi - солнцезащитные средства для детей, беременных и людей с очень чувствительной кожей.

🌱 Bollicine - безопасные средства для стирки и мытья посуды.","Perfume, Cosmetics",Органическая итальянская косметика для мам и малышей,cosmetics
26,Sneaker Lab | Poizon,"Sneaker Lab | Poizon - магазин оригинальной одежды, обуви, аксессуаров.

С нами вы сможете заказывать свои любимые вещи с выгодой до 70% а то и больше, без больших наценок реселлеров и магазинов

- Поможем подобрать пару под ваш бюджет и вкус
- Нет минимальной суммы заказа
- Все товары только оригинал 
- Быстрая доставка 15-20 дней
- Выгодные условия
- Доставка по всей РФ

Если хотите чтобы мы рассчитали точную стоимость скиньте ссылку на интересующий вас товар и ваш размер

Курс юаня - 13,7","Fashion, clothing, shoes",,clothes
27,Кинотеатры ULTRA CINEMA,"2 КИНОТЕАТРА В УФЕ!
ТЦ Ультра (11 кинозалов с отдельной ZONE PRIME)
ТЦ Мир (5 кинозалов с супер мягкими креслами)

В ТЦ Ультра:
- 11 кинозалов
- 2D/3D по одной цене, чтобы не запутаться
- Современные широкоформатные изогнутые экраны для полного погружения
- Анатомические кресла
- Бесплатные 3D-очки и бесплатные салфетки к ним
- Консешн-зона с многообразием выбора
- Мягкая и просторная зона ожидания
- 1133 мест в кинокомплексе

PRIME - это:
- 4 камерных зала по 30-32 кресла
- мягкие раскладывающиеся кресла
- Свой отдельный бар
- Свой гардероб
- Своя зона ожидания

1,2,3 залы - 127 мест
4 - 69 мест
5 - 299 мест
6 - 154 мест
7 - 110 мест
8 - 30 мест
9 - 30 мест
10 - 32 мест
11 - 33 мест

В ТЦ Мир (верхний уровень):
-500 СУПЕР-мягких кожаных кресел
-огромное лаундж-фойе
-огромные экраны во всю стену 
-как всегда вкусный свежий попкорн

Телефон: (347) 224-27-27",Movie theater,"🌍 ultra-cinema.ru📍Бакалинская, 27 ТКЦ ULTRA и просп. Октября, 4/1, ТЦ Мир",events
28,MobiDevices.com,"💻 MobiDevices.com – медиа о гаджетах и технологиях. Объективные новости и обзоры.

Мы в cоциальных сетях:
📱 Telegram.me/MobiDevices
📷 Instagram.com/MobiDevices
⌨️ Twitter.com/MobiDevices
🎮 Dzen.ru/MobiDevices",Internet media,"Гаджеты, технологии, обзоры",tech
29,Поиск Напарников RUST | РАСТ | РУСТ,"Напарники для rust | раст | руст |
🔵 РЕКЛАМА | СПАМ | ФЛУД | ССЫЛКИ | СООБЩЕНИЯ НЕ ПО ТЕМЕ ЗАПРЕЩЕНЫ!
🔴 ЗА СТЕНОЙ СЛЕДИМ. РАЗБАНА НЕТ!

Также нас ищут по запросам:
поиск напарников, раст, рис, игра раст, мемы раст, поиск тимы раст, поиск тимы, ищу друга, найти друзей, поиск тиммейтов, тиммейт, тима, поиск раст, rust, rust teams, rust clan, клан раст, ищу клан раст, ищу клан, найти клан, поиск напарников раст, найти тиму раст, поиск напарников раст",Games,"📊 Цель: 11,000 участников",games
30,MERCHMUSIC.RU | Официальный мерч из США | Merch,"MERCHMUSIC.RU - крупнейший магазин мерча в России и СНГ. Более 10000 наименований мерча, более 800 групп! Большой выбор мерча из США!

НАШ МАГАЗИН: merchmusic.ru
Телефон: +7-495-642-42-69

ДОСТАВЛЯЕМ МЕРЧ БЕЗ ПРЕДОПЛАТЫ! 

Отзывы о нашей работе можно почитать на стене группы. За последний год выполнено более 3000 заказов. 

В группе лишь маленькая часть нашего ассортимента, полноценный сортируемый каталог смотрите на нашем сайте!","Clothing, shoes",ДОСТАВЛЯЕМ МЕРЧ БЕЗ ПРЕДОПЛАТЫ!,merch
31,Яндекс Маркет промокод на первый заказ 2023.,"✅ Промокоды Яндекс Маркет на первый заказ | первую покупку.
✅ Акции, скидки распродажи, купоны и бонусы на ноябрь 2023 - декабрь 2023 г.
✅ Промокод Яндекс Маркет на повторный заказ.
✅ Подборка секретных распродаж и кодов.
✅ Промокоды от блогеров.
✅ Не официальное сообщество интернет-магазина.",Business,Особо выгодные промокоды Яндекс.Маркет только для наших подписчиков,food
32,"Корейская косметика, парфюм, опт, 2А-02/1","Ваша красота - наша забота 🌿

Корейская , Китайская косметика ОПТОМ и в розницу !
⠀
➖Минимальная сумма закупки для отправки от  1500 ₽;
⠀
➖Вся косметика напрямую от производителей из Южной Кореи и Китай ;
⠀
➖Предоставляем сертификаты соответствия и таможенные декларации по запросу;
⠀
➖Быстрая доставка и сборка заказа .
⠀
✅Нам доверяют уже 6 лет,
а мы в свою очередь заботимся о каждом клиенте и предоставляем новинки в первую очередь 

❤️Наш адрес: г. МОСКВА, ТК «Садовод», корпус А, 2 этаж, павильон 2а-02/1 (ориентир - кафе «Султан-Лагман»)
❤️ Часы работы с 06:00-18:00 без выходных;
Телефон: +7 926 460 02-94","Perfume, Cosmetics","❤Наш адрес: г. МОСКВА, ТК «Садовод», корпус А, 2 этаж, павильон 2а-02/1 (ориентир - кафе «Султан-Лагман»)",cosmetics
33,Poizon X,"Мы просто предоставляем услуги по заказу любых товаров с китайской онлайн площадки POIZON.

С нами ваша жизнь станет чуточку удобнее  🙌🏼",Freight Transportation,Online 👨‍💻,clothes
34,"Концерты, мероприятия в клубах Москвы","Данная группа посвящена организаторам и посетителям клубных концертов и мероприятий в Москве. На стене можете публиковать анонсы.
По поводу рассылок - пишите мне в личку.
https://vk.com/setlistmaker",Concert hall,Рассылка приглашений на концерт - всего 500р,events
35,DarkWeb,"В мире, где правят деньги, мы будем жить вечно.

Ни администрация группы, ни автор поста не несут ответственности за использование представленной информации. Вся 
информация дана в ознакомительных целях.

Вся информация публикуемая в группе взята из открытых источников. Если вы являетесь автором текста и считаете, что ваши права нарушены - напишите нам.",Programming,Крупнейший агрегатор тёмных новостей во всем Вконтакте,tech
36,CS.MONEY,"Официальная группа CS.MОNEY. Самого большого сайта по обмену скинов CS:GO/CS2.

🌈 Делаем инвентари по цветам, для фанатов NAVI и даже по цене iPhone 12.

🔫 Помогаем выбрать лучшее комбо к твоему новому АK-47 Redline.

🎮 Рассказываем интересно о новостях из мира CS:GO.

🤠 Выкладываем веселые мемы про твоих тиммейтов, AWP Safari Mesh и многое другое.

📱 Всегда на связи с тобой через мобильное приложение из Google Play.
Android: https://vk.cc/bVKNZI",Video game,,games
37,Стикерон. стикеры полиграфия значки мерч печать,"СТИКЕРЫ, ПОЛИГРАФИЯ, ЗНАЧКИ, СУВЕНИРКА, МЕРЧ ПО ВАШЕМУ ДИЗАЙНУ.
•Печаем стикеры, наклейки и все что липнет и блестит с вашим дизайном и артами;
•Печаем стикерпаки, стикербуки по вашим макетам;
•Открытки, карточки, блокноты и любая другая полиграфия;
•Значки, магниты и любая сувенирка с вашим дизайном;
•Любой мерч по вашим макетам, пикчам и картинкам.

Не нашлось что нужно - смело пиши в сообщения, мы это точно можем сделать!

Быстро печатаем и отправляем заказы в любую точку мира🚚","Printing, Graphic Arts",Делаем стикеры и мерч с вашим дизайном,merch
38,"ВК, за что?",Присылайте выши интересные случаи в предложку.,Humor,За что нам всё это?,trash
39,Худая еда | пп-рецепты | рационы,"🥦 Рационы питания с калорийностью
🥑 Авторские ПП-рецепты
🌱 Много полезностей для вашей стройной фигуры 💪",Healthy lifestyle,Территория здорового питания,food
40,WB скидки подборки отзывы находки косметика,"Опубликуйте свой отзыв через функцию ""предложить новость""
Данная группа предоставляет только рекомендации к покупкам.

Наша группа не занимается продажами. Мы всего лишь публикуем выгодные товары и новинки. Мы не имеем пунктов выдачи WB и не продаём товары! В этой группе постятся товары с сайта wildberries, которые мы рекомендуем к приобретению.
Подписывайтесь на уведомления , чтобы ничего не пропустить❣

Нас ищут по запросам: подслушано
Wildberries, wildberies, Вайлдберриз, Вайлдбериз, Вайлдберрис, Вайлберриз, Вайлбериз, Вайлберис, Валберис, Валберес,велберис, Ozon, озон, Маркетплейс, Маркетплейсы, магнит косметик,магазин косметики, купить косметику, каталог косметики, корейская косметика, косметика официальный, косметика цена, косметика для волос, белорусская косметика, профессиональная косметика, косметика москва, яблоко косметика, скидки, цены, крем, золотая косметика, золотое яблоко, бренды косметики, детская косметика, косметика 2022, невская косметика, набор косметики, лучшая косметика, уходовая косметика, косметика спб, производители, косметика года, косметика оптом, декоративная косметика, парфюмерия, духи, женские, мужские, натуральная, аравия, крымская, ламель, бьюти, россия, летик, вб партнеры, вб селлер, поинт вб, вб личный кабинет, купить на вайлдберисе, товары +на вайлдберисе, wildberries интернет, wildberries catalog, работа, аренда, новости, цена, купить, продать, авито, avito, в москве, недорого, купить женские, купить мужские, какой купить, инструкция, аналоги, сайт, таблетки, цены, сегодня, у водителей, вакансии, Москва, Санкт-Петербург, Абакан, Альметьевск, Ангарск, Арзамас, Армавир, Артём, Архангельск, Астрахань, Ачинск, Балаково, Балашиха, Барнаул, Батайск, Белгород, Бердск, Березники, Бийск, Благовещенск, Братск, Брянск, Великий Новгород, Владивосток, Владикавказ, Владимир, Волгоград, Волгодонск, Волжский, Вологда, Воронеж, Грозный, Дербент, Дзержинск, Димитровград, Долгопрудный, Домодедово, Евпатория, Екатеринбург, Елец, Ессентуки, Железногорск, Жуковский, Зеленодольск, Златоуст, Иваново, Ижевск, Иркутск, Йошкар-Ола, Казань, Калининград, Калуга, Каменск-Уральский, Камышин, Каспийск, Кемерово, Керчь, Киров, Кисловодск, Ковров, Коломна, Комсомольск-на-Амуре, Копейск, Королёв, Кострома, Красногорск, Краснодар, Красноярск, Курган, Курск, Кызыл, Липецк, Лэтуаль, Люберцы, Магнитогорск, Майкоп, Махачкала, Миасс, Мурманск, Муром, Мытищи, Набережные Челны, Назрань, Нальчик, Находка, Невинномысск, Нефтекамск, рив гош, Нефтеюганск, Нижневартовск, Нижнекамск, Нижний Новгород, духи, Нижний Тагил, Новокузнецк, Новокуйбышевск, Новомосковск, Новороссийск, Новосибирск, лидер парфюм, Новочебоксарск, Новочеркасск, Новошахтинск, Новый Уренгой, Ногинск, Норильск, wildberries, Ноябрьск, Обнинск, Одинцово, Октябрьский, Омск, Орёл, Оренбург, Орехово-Зуево, Орск, Пенза, Первоуральск, Пермь, Петрозаводск, Петропавловск-Камчатский, Подольск, Прокопьевск, Псков, Пушкино, Пятигорск, Раменское, Реутов, Ростов-на-Дону, Рубцовск, Рыбинск, клин, Конаково, Завидово, Рязань, Салават, Самара, Санкт-Петербург, Саранск, Саратов, Севастополь, Северодвинск, Северск, Сергиев Посад, Серпухов, Симферополь, Смоленск, Сочи, Адлер. Ставрополь, Старый Оскол, Стерлитамак, Сургут, Сызрань, Сыктывкар, позы йоги, Таганрог, Тамбов, Тверь, Тольятти, Томск, Тула, Тюмень, Улан-Удэ, Ульяновск, Уссурийск, Уфа, Хабаровск, Ханты-Мансийск, Хасавюрт, Химки, Чебоксары, Челябинск, Череповец, Черкесск, Чита, Шахты, Щёлково, Электросталь, Элиста, Энгельс, Южно-Сахалинск, Якутск, Ярославль. и другие города РФ","Perfume, Cosmetics",ДЕВУШКИ ХВАСТЫ НАХОДКИ ТРЕНДЫ ПОДБОРКИ СКИДКИ ОТЗЫВЫ ВЫГОДНО ПОДСЛУШАНО КОРЕЙСКАЯ КОСМЕТИКА БЬЮТИ НА WB,cosmetics
41,Магазин Sneakerhead,"https://vk.cc/cov2JG — один из самых больших сетевых магазинов кроссовок в СНГ. Ассортимент магазина не ограничивается лишь кроссовками, для покупки также доступно большое количество модных брендов одежды. Мы на прямую сотрудничаем с такими брендами как: Nike, adidas, PUMA, Reebok, ASICS, New Balance, Saucony и многими другими. На данный момент Sneakerhead занимает лидирующие позиции по количеству уникальных посетителей и продажам.

Преимущества
— большой ассортимент 
— удобный сервис 
— наличие бесплатной доставки 
— доставка по всему миру
— работа со всеми платежными системами 
— бонусная программа для постоянных покупателей","Clothing, shoes",#оусх,clothes
42,Гиг За Сотку | Бесплатные концерты Москвы,"Культурно-просветительское медиа о московской концертной жизни, от самых глубин андера до больших фестивалей.
ГЗС это новая музыка, знакомства и эмоции.
Подключайся и #поддержисвоюсцену

#ГЗС_неделя – концерты недели каждую среду
#ГигЗаНоль – бесплатный кайф
#СкидосНаГигос – скидки на концерты подороже

#ГЗС_полезное – инфа, которая всегда пригодится
#ГЗС_годнота – обзоры групп и релизов

Архив:
#ГЗС_видос/#ГигРепорт – лайвы и репортажи
#ГЗС_фото – драйвовые моменты
#ГЗС_вью – интервью в формате статьи

По рекламе и другим вопросам – пиши в сообщения группы

Беседа для поиска компании на гиги: https://vk.cc/a5a4T7",Music,медиа про движ,events
43,Samsung,"Официальная группа Samsung в России. Все свежие новости о технике и технологиях, обзоры, лайфхаки и конечно же новинки Samsung – здесь. 

Присоединяйся!",Mobile technology,Официальная страница,tech
44,Продажа скинов CS:GO | Продать/Купить скины CS2,"✅ Продажа аккаунтов Steam по низким ценам
✅ Большой ассортимент товаров Стим
✅ Проверенный товар Steam
✅ Гарантия безопасных и качественных сделок
✅ Переоформим и передадим товар/аккаунт Steam
✅ Регулярные Конкурсы/Раздачи
✅ Видео Отзывы/Гарантии
✅ Низкие цены на аккаунты Steam
✅ Купить КС:ГО Прайм

🎮 Каждую неделю: раздача ключей кс го, розыгрыш аккаунтов с CS:GO PRIME и другими играми!
⚡ БЫСТРАЯ И ВЫГОДНАЯ /ПОКУПКА STEAM АККАУНТА
🚀Лучшая цена на рынке Steam аккаунтов

✅Наши услуги:
Продажа Steam, Розыгрыш скинов CS GO, Халява Steam, Раздача Rust, Продажа скинов CSGO, Dota, ножей, аркан, купить csgo, купить кс 2, продать скины cs2, купить скины cs go

🔥 У нас в группе вы можете приобрести:
• Аккаунты CSGO/Rust/GTA5/Cs2/Кс2
• С прайм статусом.
• С большим инвентарём.
• С большим уровнем.
• С балансом Steam
• Все аккаунты без каких либо блокировок!",Online Game,✔ Продажа аккаунтов STEAM по низким ценам,games
45,Kirei's - аниме фигурки и мерч,аниме фигурки и мерч в Москве,Animation,скоро конкурс репостов и арт-конкурс на шапку для паблика!!,merch
46,Кот,Лучшие мемы и много много котиков,Humor,Просто замурчательный паблик,trash
47,ВкусВилл. Здесь полезное вкусно,"Магазин вкусных и полезных продуктов с честным составом — доставим их бесплатно. В этом сообществе мы рассказываем о наших акциях и новинках, делимся рецептами и общаемся с вами 💚

🥭 Настала любимая пора — время манго Египет","Food, drink",Бесплатная доставка свежих продуктов за час,food
